canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1,CHEMBL152968,IC50,nM,37000.0,IC50,uM,37.0
COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,CHEMBL292759,IC50,nM,6000.0,IC50,uM,6.0
Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(-c5ccccc5)cc4)CC3)ccc2s1,CHEMBL153741,IC50,nM,7900.0,IC50,uM,7.9
CCn1c2ccccc2c2cc(NC(=O)CN3CCN(C[C@@H](O)COc4ccc5sc(C)nc5c4)CC3)ccc21,CHEMBL150614,IC50,nM,39000.0,IC50,uM,39.0
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1.Cl,CHEMBL542139,IC50,nM,40000.0,IC50,uM,40.0
Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4c(C)cccc4C)CC3)ccc2s1,CHEMBL154751,IC50,nM,23000.0,IC50,uM,23.0
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,CHEMBL168471,IC50,nM,81000.0,IC50,uM,81.0
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,CHEMBL168471,IC50,nM,531000.0,IC50,uM,531.0
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3cccnc3)o2)C[C@H]1C(=O)NCC(F)(F)F,CHEMBL3706623,IC50,nM,440.0,IC50,uM,0.44
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,CHEMBL5483011,IC50,nM,150.0,IC50,uM,0.15
O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccn3)o2)C[C@H]1C(=O)NCC(F)(F)F,CHEMBL3706619,IC50,nM,5200.0,IC50,uM,5.2
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2c[nH]c3ncnc-3c2)c1,CHEMBL352806,IC50,nM,4000.0,IC50,uM,4.0
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2cccc3cnccc23)c1,CHEMBL170159,IC50,nM,1000.0,IC50,uM,1.0
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]c(C)nc3c2)c1,CHEMBL349638,IC50,nM,5000.0,IC50,uM,5.0
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]nnc3c2)c1,CHEMBL168563,IC50,nM,7500.0,IC50,uM,7.5
Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4CC5CCC4CC5)cc3c2[C@H](C)CNCCc2ccc3[nH]cnc3c2)c1,CHEMBL168538,IC50,nM,100.0,IC50,nM,100.0
